category,n_genes,median_cnv_mrna,mean_cnv_mrna,median_mrna_prot,mean_mrna_prot,median_cnv_prot,mean_cnv_prot
mixed_discordant,60,0.041718551377871185,0.03811830156794834,0.017150033496431245,0.015816527650632833,-0.00013132262380124906,0.007359720558591534
intermediate,162,0.23500667725880767,0.23018443873187758,0.23367355810911666,0.24622685918268022,0.09874591420977426,0.10757602041099099
transcriptional_discordant,58,0.01908023861615998,0.03191496668678612,0.4693847543210079,0.5092503437653457,0.030928639830258342,0.02512482872175747
concordant,39,0.37324853413887193,0.40790518046998114,0.4635196477714722,0.49302269390776626,0.2677029277090326,0.2859545617012881
post_transcriptional_discordant,48,0.3867932787396203,0.41470923892400585,0.043700131156874225,0.035636110044584814,0.042006700648025155,0.04074822384953618
