term,count_discordant,count_concordant,freq_discordant,freq_concordant,fold_enrichment,fisher_pval,odds_ratio
Hedgehog 'on' state,3,0,0.018072289156626505,0.0,inf,0.5291219936250362,inf
Anti-inflammatory response favouring Leishmania parasite infection,3,0,0.018072289156626505,0.0,inf,0.5291219936250362,inf
GPVI-mediated activation cascade,3,0,0.018072289156626505,0.0,inf,0.5291219936250362,inf
Oncogene Induced Senescence,3,0,0.018072289156626505,0.0,inf,0.5291219936250362,inf
Regulation of RUNX2 expression and activity,3,0,0.018072289156626505,0.0,inf,0.5291219936250362,inf
Stimuli-sensing channels,3,0,0.018072289156626505,0.0,inf,0.5291219936250362,inf
Diseases associated with O-glycosylation of proteins,3,0,0.018072289156626505,0.0,inf,0.5291219936250362,inf
Interferon Signaling,3,0,0.018072289156626505,0.0,inf,0.5291219936250362,inf
"Signaling by phosphorylated juxtamembrane, extracellular and kinase domain KIT mutants",3,0,0.018072289156626505,0.0,inf,0.5291219936250362,inf
Interleukin-2 signaling,3,0,0.018072289156626505,0.0,inf,0.5291219936250362,inf
BH3-only proteins associate with and inactivate anti-apoptotic BCL-2 members,3,0,0.018072289156626505,0.0,inf,0.5291219936250362,inf
Signaling by NOTCH2,3,0,0.018072289156626505,0.0,inf,0.5291219936250362,inf
Loss of proteins required for interphase microtubule organization from the centrosome,3,0,0.018072289156626505,0.0,inf,0.5291219936250362,inf
Metabolism of water-soluble vitamins and cofactors,3,0,0.018072289156626505,0.0,inf,0.5291219936250362,inf
Regulation of lipid metabolism by PPARalpha,3,0,0.018072289156626505,0.0,inf,0.5291219936250362,inf
Neddylation,3,0,0.018072289156626505,0.0,inf,0.5291219936250362,inf
Fatty acid metabolism,3,0,0.018072289156626505,0.0,inf,0.5291219936250362,inf
Interleukin-7 signaling,3,0,0.018072289156626505,0.0,inf,0.5291219936250362,inf
Basigin interactions,3,0,0.018072289156626505,0.0,inf,0.5291219936250362,inf
PECAM1 interactions,3,0,0.018072289156626505,0.0,inf,0.5291219936250362,inf
Disassembly of the destruction complex and recruitment of AXIN to the membrane,3,0,0.018072289156626505,0.0,inf,0.5291219936250362,inf
PPARA activates gene expression,3,0,0.018072289156626505,0.0,inf,0.5291219936250362,inf
Inactivation of CSF3 (G-CSF) signaling,3,0,0.018072289156626505,0.0,inf,0.5291219936250362,inf
"Glutamate binding, activation of AMPA receptors and synaptic plasticity",3,0,0.018072289156626505,0.0,inf,0.5291219936250362,inf
Death Receptor Signalling,7,1,0.04216867469879518,0.02564102564102564,1.644578313253012,0.5298214165634704,1.6729559748427674
TCF dependent signaling in response to WNT,7,1,0.04216867469879518,0.02564102564102564,1.644578313253012,0.5298214165634704,1.6729559748427674
"Platelet activation, signaling and aggregation",11,2,0.06626506024096386,0.05128205128205128,1.2921686746987953,0.535339389454199,1.3129032258064517
Signaling by Receptor Tyrosine Kinases,23,5,0.13855421686746988,0.1282051282051282,1.0807228915662652,0.5512974539087361,1.0937062937062938
Diseases of signal transduction by growth factor receptors and second messengers,31,7,0.18674698795180722,0.1794871794871795,1.040447504302926,0.560992797746173,1.0497354497354496
Signaling by WNT,10,2,0.060240963855421686,0.05128205128205128,1.1746987951807228,0.5922955074997385,1.185897435897436
Macroautophagy,10,2,0.060240963855421686,0.05128205128205128,1.1746987951807228,0.5922955074997385,1.185897435897436
MAPK1/MAPK3 signaling,10,2,0.060240963855421686,0.05128205128205128,1.1746987951807228,0.5922955074997385,1.185897435897436
Signaling by ALK fusions and activated point mutants,6,1,0.03614457831325301,0.02564102564102564,1.4096385542168675,0.6027562278085532,1.425
Transport of small molecules,6,1,0.03614457831325301,0.02564102564102564,1.4096385542168675,0.6027562278085532,1.425
Signaling by NOTCH,6,1,0.03614457831325301,0.02564102564102564,1.4096385542168675,0.6027562278085532,1.425
C-type lectin receptors (CLRs),6,1,0.03614457831325301,0.02564102564102564,1.4096385542168675,0.6027562278085532,1.425
p75 NTR receptor-mediated signalling,6,1,0.03614457831325301,0.02564102564102564,1.4096385542168675,0.6027562278085532,1.425
Autophagy,9,2,0.05421686746987952,0.05128205128205128,1.0572289156626506,0.650642273862738,1.0605095541401275
Signaling by NTRK1 (TRKA),9,2,0.05421686746987952,0.05128205128205128,1.0572289156626506,0.650642273862738,1.0605095541401275
Intrinsic Pathway for Apoptosis,9,2,0.05421686746987952,0.05128205128205128,1.0572289156626506,0.650642273862738,1.0605095541401275
Constitutive Signaling by Aberrant PI3K in Cancer,9,2,0.05421686746987952,0.05128205128205128,1.0572289156626506,0.650642273862738,1.0605095541401275
Signaling by NTRKs,9,2,0.05421686746987952,0.05128205128205128,1.0572289156626506,0.650642273862738,1.0605095541401275
Negative regulation of TCF-dependent signaling by WNT ligand antagonists,2,0,0.012048192771084338,0.0,inf,0.6549497847919655,inf
Signaling by NOTCH4,2,0,0.012048192771084338,0.0,inf,0.6549497847919655,inf
Trafficking of GluR2-containing AMPA receptors,2,0,0.012048192771084338,0.0,inf,0.6549497847919655,inf
HIV Infection,2,0,0.012048192771084338,0.0,inf,0.6549497847919655,inf
"POU5F1 (OCT4), SOX2, NANOG activate genes related to proliferation",2,0,0.012048192771084338,0.0,inf,0.6549497847919655,inf
Nicotinate metabolism,2,0,0.012048192771084338,0.0,inf,0.6549497847919655,inf
Regulation of KIT signaling,2,0,0.012048192771084338,0.0,inf,0.6549497847919655,inf
RUNX3 regulates BCL2L11 (BIM) transcription,2,0,0.012048192771084338,0.0,inf,0.6549497847919655,inf
"Activation of NIMA Kinases NEK9, NEK6, NEK7",2,0,0.012048192771084338,0.0,inf,0.6549497847919655,inf
Estrogen-dependent nuclear events downstream of ESR-membrane signaling,2,0,0.012048192771084338,0.0,inf,0.6549497847919655,inf
Signaling by Activin,2,0,0.012048192771084338,0.0,inf,0.6549497847919655,inf
"FOXO-mediated transcription of oxidative stress, metabolic and neuronal genes",2,0,0.012048192771084338,0.0,inf,0.6549497847919655,inf
Negative regulation of FGFR3 signaling,2,0,0.012048192771084338,0.0,inf,0.6549497847919655,inf
Disinhibition of SNARE formation,2,0,0.012048192771084338,0.0,inf,0.6549497847919655,inf
ZBP1(DAI) mediated induction of type I IFNs,2,0,0.012048192771084338,0.0,inf,0.6549497847919655,inf
Antigen activates B Cell Receptor (BCR) leading to generation of second messengers,2,0,0.012048192771084338,0.0,inf,0.6549497847919655,inf
Translation of Replicase and Assembly of the Replication Transcription Complex,2,0,0.012048192771084338,0.0,inf,0.6549497847919655,inf
Class B/2 (Secretin family receptors),2,0,0.012048192771084338,0.0,inf,0.6549497847919655,inf
Depolymerisation of the Nuclear Lamina,2,0,0.012048192771084338,0.0,inf,0.6549497847919655,inf
Opioid Signalling,2,0,0.012048192771084338,0.0,inf,0.6549497847919655,inf
CLEC7A/inflammasome pathway,2,0,0.012048192771084338,0.0,inf,0.6549497847919655,inf
Negative regulation of MAPK pathway,2,0,0.012048192771084338,0.0,inf,0.6549497847919655,inf
Regulation of gene expression in late stage (branching morphogenesis) pancreatic bud precursor cells,2,0,0.012048192771084338,0.0,inf,0.6549497847919655,inf
EPHA-mediated growth cone collapse,2,0,0.012048192771084338,0.0,inf,0.6549497847919655,inf
NOTCH4 Intracellular Domain Regulates Transcription,2,0,0.012048192771084338,0.0,inf,0.6549497847919655,inf
Heme signaling,2,0,0.012048192771084338,0.0,inf,0.6549497847919655,inf
Muscle contraction,2,0,0.012048192771084338,0.0,inf,0.6549497847919655,inf
O-linked glycosylation of mucins,2,0,0.012048192771084338,0.0,inf,0.6549497847919655,inf
Amyloid fiber formation,2,0,0.012048192771084338,0.0,inf,0.6549497847919655,inf
Senescence-Associated Secretory Phenotype (SASP),2,0,0.012048192771084338,0.0,inf,0.6549497847919655,inf
RUNX1 regulates transcription of genes involved in differentiation of HSCs,2,0,0.012048192771084338,0.0,inf,0.6549497847919655,inf
Resolution of D-loop Structures through Holliday Junction Intermediates,2,0,0.012048192771084338,0.0,inf,0.6549497847919655,inf
Activation of Matrix Metalloproteinases,2,0,0.012048192771084338,0.0,inf,0.6549497847919655,inf
TRP channels,2,0,0.012048192771084338,0.0,inf,0.6549497847919655,inf
Antiviral mechanism by IFN-stimulated genes,2,0,0.012048192771084338,0.0,inf,0.6549497847919655,inf
Signaling by KIT in disease,2,0,0.012048192771084338,0.0,inf,0.6549497847919655,inf
SMAD2/SMAD3:SMAD4 heterotrimer regulates transcription,2,0,0.012048192771084338,0.0,inf,0.6549497847919655,inf
Pyroptosis,2,0,0.012048192771084338,0.0,inf,0.6549497847919655,inf
Inhibition of DNA recombination at telomere,2,0,0.012048192771084338,0.0,inf,0.6549497847919655,inf
NOTCH3 Intracellular Domain Regulates Transcription,2,0,0.012048192771084338,0.0,inf,0.6549497847919655,inf
Erythropoietin activates RAS,2,0,0.012048192771084338,0.0,inf,0.6549497847919655,inf
IKK complex recruitment mediated by RIP1,2,0,0.012048192771084338,0.0,inf,0.6549497847919655,inf
