entrez_id,corr_cnv_mrna,pval_cnv_mrna,corr_mrna_prot,pval_mrna_prot,corr_cnv_prot,pval_cnv_prot,n_samples_cnv_mrna,n_samples_mrna_prot,n_samples_cnv_prot,gene_symbol,category
1000,0.12443705678038222,0.0002902598153797748,0.10717216159562967,0.0018214413532843161,0.0047104418332513595,0.8913120498584439,844,844,844,CDH2,mixed_discordant
1001,0.18704838722462142,4.389912374083863e-08,0.3432074839436303,9.6681371994017e-25,0.02695833648956568,0.434116819504802,844,844,844,CDH3,intermediate
10018,0.07848520563866213,0.02259192253723041,0.3941035557161452,9.521986880057819e-33,-0.0019193517081559919,0.9555984855658626,844,844,844,BCL2L11,transcriptional_discordant
10059,0.4180345367051946,4.9821706843749566e-37,0.47020277895878126,1.01816458043741e-46,0.3062266606606906,2.0535983800454638e-19,844,827,827,DNM1L,concordant
10111,0.3241541615232486,4.2277922937059544e-22,0.27046539545301224,1.2924976851036222e-15,0.17474473879346059,3.2479737459036894e-07,844,844,844,RAD50,intermediate
10131,0.3492562171379396,1.2816175107282066e-25,0.42112931475183146,6.9665004670461985e-37,0.29850972744578586,1.7518257994297935e-18,844,827,827,TRAP1,concordant
10155,0.4455199998071604,2.1594360696653717e-42,0.4382009949907144,4.003620351462782e-40,0.34866431895330124,4.756778854127258e-25,844,827,827,TRIM28,concordant
102,0.23386460176483498,5.9973313289255425e-12,-0.09948277187150083,0.003815356513725861,-0.04412435836266164,0.2003304849424143,844,844,844,ADAR,intermediate
1026,0.0010186514538027946,0.9764261952309331,0.2160156804326635,2.277849086789463e-10,0.01547100622560259,0.6535619196702489,844,844,844,CDKN1A,intermediate
1027,0.1592610159877708,3.324984855947446e-06,0.5687920733581182,1.6568206413260947e-73,0.11602211411148403,0.0007326707544662963,844,844,844,CDKN1B,intermediate
1029,0.28414776143700393,3.8681030176095325e-17,0.6148258225093276,6.794225482158208e-89,0.19044842050472915,2.464574601315686e-08,844,844,844,CDKN2A,intermediate
10298,0.29761788041992987,1.0059731819224743e-18,0.08571088131139198,0.013676477709251584,0.09407458297248941,0.006783824388802644,844,827,827,PAK4,intermediate
10318,0.1323657040851165,0.0001149146173255976,0.018136528166699813,0.5987777620119235,-0.07955729642565226,0.020804575933292605,844,844,844,STMN1,mixed_discordant
