gene_a,gene_b,gene_a_label,gene_b_label,corr_mrna,corr_protein,corr_cross_ab,corr_cross_ba,n_samples_mrna,n_samples_protein,predicate_group
111,2740,ADCY5 (human),GLP1R (human),0.004207367081760213,,,,878,0,molecularly interacts with
4714,506,NDUFB8,ATP5F1B (human),-0.06690584969326807,,,,878,0,molecularly interacts with
84991,342371,RBM17 (human),ATXN1L (human),0.23507729062445276,,,,878,0,molecularly interacts with
8649,53632,LAMTOR3 (human),PRKAG3 (human),-0.21970151202111446,,,,878,0,molecularly interacts with
91694,90678,LONRF1 (human),LRSAM1,-0.021964071850872516,,,,878,0,molecularly interacts with
23304,29882,UBR2 (human),ANAPC2 (human),0.02832771322581163,,,,878,0,molecularly interacts with
3792,5304,KEL (human),PIP (human),0.37023865353962004,,,,878,0,molecularly interacts with
1511,2896,CTSG (human),GRN,0.18789352070564372,,,,878,0,molecularly interacts with
2782,643,GNB1 (human),CXCR5 (human),-0.009408933620535142,,,,878,0,molecularly interacts with
140801,1973,RPL10L (human),EIF4A1 (human),-0.06001381028178773,,,,878,0,molecularly interacts with
2100,8204,ESR2 (human),NRIP1 (human),0.07657250543986405,,,,878,0,molecularly interacts with
27044,5894,SND1 (human),RAF1 (human),0.37416491604637087,,0.062165779615767906,,878,0,molecularly interacts with
11119,402569,BTN3A1 (human),KPNA7 (human),0.03543979573598242,,,,878,0,molecularly interacts with
5295,22863,PIK3R1 (human),ATG14 (human),0.4342799649607083,,,0.019366649621124228,878,0,molecularly interacts with
1133,10316,CHRM5 (human),NMUR1 (human),0.15668520480488068,,,,878,0,molecularly interacts with
6156,6154,RPL30 (human),RPL26,0.4911673093511869,,,,878,0,molecularly interacts with
351,590,APP,BCHE (human),0.03380953020190921,,,,878,0,molecularly interacts with
79813,6015,EHMT1 (human),RING1 (human),0.3100438620151471,,,,878,0,molecularly interacts with
6637,23165,SNRPG (human),NUP205,0.20494366384675777,,,,878,0,molecularly interacts with
5894,9444,RAF1 (human),QKI (human),0.5159388719496025,,,0.0206067687142582,878,0,molecularly interacts with
51755,5434,CDK12 (human),POLR2E (human),-0.07020805173429592,,,,878,0,molecularly interacts with
27339,5432,PRPF19 (human),POLR2C (human),0.162833411484622,,,,878,0,molecularly interacts with
6159,6156,RPL29 (human),RPL30 (human),0.3981326669904554,,,,878,0,molecularly interacts with
10399,6155,RACK1 (human),RPL27 (human),0.5850356561174139,,,,878,0,molecularly interacts with
6346,4985,CCL1 (human),OPRD1 (human),0.005118772048425606,,,,878,0,molecularly interacts with
6262,57158,RYR2,JPH2 (human),0.08211909579118065,,,,878,0,molecularly interacts with
7015,5980,TERT (human),REV3L (human),0.03389944567828812,,,,878,0,molecularly interacts with
65264,142689,UBE2Z (human),ASB12 (human),-0.18212118609563938,,,,878,0,molecularly interacts with
8835,92369,SOCS2 (human),SPSB4 (human),-0.046735226210210146,,,,878,0,molecularly interacts with
16,10667,AARS1,FARS2 (human),0.07508432853717846,,,,878,0,molecularly interacts with
9156,113130,EXO1 (human),CDCA5 (human),0.8245270909181,,,,878,0,molecularly interacts with
2837,6869,UTS2R (human),TACR1 (human),0.3657902531544033,,,,878,0,molecularly interacts with
5345,5004,SERPINF2,ORM1 (human),-0.020634646174480034,,,,878,0,molecularly interacts with
1163,5690,CKS1B (human),PSMB2 (human),0.5306824477720411,,,,878,0,molecularly interacts with
54874,127833,FNBP1L (human),SYT2 (human),0.18517513658133966,,,,878,0,molecularly interacts with
6850,695,SYK (human),BTK (human),0.5743283342572008,,,0.32268514013015975,878,0,molecularly interacts with
11255,729230,HRH3 (human),CCR2 (human),-0.06430743051343821,,,,878,0,molecularly interacts with
1911,64682,PHC1 (human),ANAPC1 (human),0.5122751827536332,,,,878,0,molecularly interacts with
114822,26256,RHPN1 (human),CABYR (human),0.06320914910823275,,,,878,0,molecularly interacts with
659,4087,BMPR2,SMAD2 (human),0.6280634393045914,,,,878,0,molecularly interacts with
7528,171023,YY1 (human),ASXL1,0.5167258576448476,,,,878,0,molecularly interacts with
55153,84916,SDAD1 (human),UTP4,0.3823904415739908,,,,878,0,molecularly interacts with
5836,7167,PYGL,TPI1 (human),0.03052498491785628,,,,878,0,molecularly interacts with
1665,9790,DHX15 (human),BMS1,0.5305306890860176,,,,878,0,molecularly interacts with
158067,10422,AK8 (human),UBAC1 (human),0.19521591429833807,,,,878,0,molecularly interacts with
94239,8290,H2AZ2 (human),H3-4 (human),0.0714443134689991,,-0.029692586934698936,,878,0,molecularly interacts with
3105,960,HLA-A (human),CD44 (human),0.0033449992511837296,,0.10132949540641822,,878,0,molecularly interacts with
3875,3890,KRT18 (human),KRT84 (human),-0.09470445986238073,,,,878,0,molecularly interacts with
3117,5641,HLA-DQA1 (human),LGMN (human),0.5125425403472821,,,0.22767392041934453,878,0,molecularly interacts with
5581,151,PRKCE (human),ADRA2B (human),0.04010497149472998,,,,878,0,molecularly interacts with
1655,2963,DDX5 (human),GTF2F2 (human),0.1744554845029142,,,,878,0,molecularly interacts with
4809,5432,SNU13 (human),POLR2C (human),0.14873926510007754,,,,878,0,molecularly interacts with
353133,4014,LCE1C (human),LORICRIN,0.8000989145398816,,,,878,0,molecularly interacts with
64118,60487,DUS1L (human),TRMT11 (human),-0.028221154398133313,,,,878,0,molecularly interacts with
55835,22919,CENPJ,MAPRE1 (human),0.41040964548311976,,,,878,0,molecularly interacts with
5433,5981,POLR2D (human),RFC1 (human),0.5643891026421992,,,,878,0,molecularly interacts with
875,3312,CBSL (human),HSPA8 (human),,,,,0,0,molecularly interacts with
92591,6233,ASB16 (human),RPS27A (human),-0.2861377540081569,,,,878,0,molecularly interacts with
885,51738,CCK (human),GHRL,0.042063221380949645,,,,878,0,molecularly interacts with
5706,114803,PSMC6 (human),MYSM1 (human),0.35419136380821503,,,,878,0,molecularly interacts with
135892,200845,TRIM50 (human),KCTD6 (human),-0.11899102307422242,,,,878,0,molecularly interacts with
401258,23352,RAB44 (human),UBR4 (human),0.15757142299759228,,,,878,0,molecularly interacts with
3596,1278,IL13,COL1A2,0.02793693778476195,,,,878,0,molecularly interacts with
11316,83548,COPE (human),COG3 (human),-0.2214251754617191,,,,878,0,molecularly interacts with
988,7280,CDC5L (human),TUBB2A (human),0.09974168823465779,,,,878,0,molecularly interacts with
2047,4318,EPHB1 (human),MMP9 (human),0.10427671818415019,,,,878,0,molecularly interacts with
55176,6132,SEC61A2 (human),RPL8 (human),-0.10773813416131463,,,,878,0,molecularly interacts with
156,2782,GRK2 (human),GNB1 (human),0.2881547289858666,,,,878,0,molecularly interacts with
207,5294,AKT1,PIK3CG (human),0.020453798606719344,,,,878,0,molecularly interacts with
4683,10635,NBN (human),RAD51AP1 (human),0.42480443696470815,,,,878,0,molecularly interacts with
10393,7311,ANAPC10 (human),UBA52 (human),-0.002056174822242872,,,,878,0,molecularly interacts with
4171,5424,MCM2 (human),POLD1 (human),0.6836815750072198,,,,878,0,molecularly interacts with
134,8484,ADORA1 (human),GALR3 (human),0.06791258197884609,,,,878,0,molecularly interacts with
8349,10051,H2BC21 (human),SMC4 (human),0.0918345179656167,,,,878,0,molecularly interacts with
2248,10818,FGF3,FRS2 (human),0.05468560419763427,,-0.03559643011628935,,878,0,molecularly interacts with
57142,51009,RTN4 (human),DERL2 (human),0.2859909457060831,,,,878,0,molecularly interacts with
50839,6364,TAS2R10 (human),CCL20 (human),-0.046191167617227184,,,,878,0,molecularly interacts with
54893,22909,MTMR10 (human),FAN1,0.7710555343884921,,,,878,0,molecularly interacts with
891,56992,CCNB1 (human),KIF15 (human),0.7991248397648822,,,0.6342015348894142,878,0,molecularly interacts with
29093,51642,MRPL22 (human),MRPL48 (human),0.21250602106763253,,,,878,0,molecularly interacts with
10970,4240,CKAP4 (human),MFGE8 (human),0.20218664180317,,,,878,0,molecularly interacts with
958,3684,CD40 (human),ITGAM,0.5172946755378871,,,,878,0,molecularly interacts with
995,259266,CDC25C (human),ASPM,0.7375564831728424,,,0.4433916086700442,878,0,molecularly interacts with
10978,9939,CLP1,RBM8A (human),0.3151585351684095,,,,878,0,molecularly interacts with
157570,113130,ESCO2,CDCA5 (human),0.647444936538937,,,,878,0,molecularly interacts with
3975,3170,LHX1 (human),FOXA2 (human),0.019466514618955336,,,,878,0,molecularly interacts with
2847,117579,MCHR1 (human),RLN3 (human),0.08894521190899009,,,,878,0,molecularly interacts with
84329,3684,HVCN1 (human),ITGAM,0.5536153779233086,,,,878,0,molecularly interacts with
23481,55720,PES1 (human),TSR1 (human),0.21547066629160214,,,,878,0,molecularly interacts with
4709,1339,NDUFB3 (human),COX6A2 (human),0.032227474741111616,,,,878,0,molecularly interacts with
999,10788,CDH1 (human),IQGAP2 (human),0.03273003451555362,,,-0.11425848586744408,878,0,molecularly interacts with
1647,595,GADD45A (human),CCND1 (human),-0.005972316273868444,,-0.013598937585467537,,878,0,molecularly interacts with
10505,1947,SEMA4F (human),EFNB1 (human),0.15074089649475156,,,,878,0,molecularly interacts with
2230,231,FDX1 (human),AKR1B1 (human),0.26679054281498304,,,,878,0,molecularly interacts with
160,22872,AP2A1 (human),SEC31A (human),0.2868353614078103,,,,878,0,molecularly interacts with
6696,84141,SPP1 (human),EVA1A (human),0.29873206045639766,,,,878,0,molecularly interacts with
338,4074,APOB,M6PR (human),0.06671198433884809,,,,878,0,molecularly interacts with
29992,81035,PILRA (human),COLEC12 (human),0.20037773340833678,,,,878,0,molecularly interacts with
7157,839,TP53 (human),CASP6 (human),0.1942520224955741,,,-0.13841384847187266,878,0,molecularly interacts with
4707,4706,NDUFB1 (human),NDUFAB1 (human),0.3630314892592421,,,,878,0,molecularly interacts with
1325,50835,CORT (human),TAS2R9 (human),0.04564347429156519,,,,878,0,molecularly interacts with
2793,5031,GNGT2 (human),P2RY6 (human),0.5096365293631866,,,,878,0,molecularly interacts with
11059,150726,WWP1 (human),FBXO41 (human),0.2668516420700921,,,,878,0,molecularly interacts with
51397,23291,COMMD10 (human),FBXW11 (human),0.6439448022986376,,,,878,0,molecularly interacts with
4061,152330,LY6E (human),CNTN4 (human),-0.15629671261120096,,,,878,0,molecularly interacts with
9040,26267,UBE2M (human),FBXO10 (human),0.06609793373623529,,,,878,0,molecularly interacts with
3101,5373,HK3 (human),PMM2 (human),0.051245179802227585,,,,878,0,molecularly interacts with
26046,54850,LTN1 (human),FBXL12 (human),0.15326082975377475,,,,878,0,molecularly interacts with
197131,200845,UBR1 (human),KCTD6 (human),0.3869612937954391,,,,878,0,molecularly interacts with
1902,6288,LPAR1 (human),SAA1 (human),0.048158267477081074,,,,878,0,molecularly interacts with
699,4175,BUB1 (human),MCM6 (human),0.8056532101543803,,,,878,0,molecularly interacts with
6047,135892,RNF4 (human),TRIM50 (human),-0.059102776147733634,,,,878,0,molecularly interacts with
7702,10621,ZNF143 (human),POLR3F (human),0.4963821710208428,,,,878,0,molecularly interacts with
6585,91768,SLIT1 (human),CABLES1 (human),0.11809719169270694,,,,878,0,molecularly interacts with
339983,2346,NAT8L,FOLH1 (human),-0.047614226993058006,,,,878,0,molecularly interacts with
51575,84154,ESF1 (human),RPF2 (human),0.2849021616353694,,,,878,0,molecularly interacts with
1950,3482,EGF (human),IGF2R (human),0.17661958936454517,,,,878,0,molecularly interacts with
1000,4052,CDH2,LTBP1 (human),0.3295866787137107,,,0.0015915870946621637,878,0,molecularly interacts with
56903,10898,PAPOLB (human),CPSF4 (human),-0.03993244354073881,,,,878,0,molecularly interacts with
23411,9013,SIRT1 (human),TAF1C (human),0.05706312747947324,,,,878,0,molecularly interacts with
55079,23314,FEZF2 (human),SATB2,-0.020319250519646715,,,,878,0,molecularly interacts with
6223,9724,RPS19 (human),UTP14C (human),,,,,878,0,molecularly interacts with
3357,2865,HTR2B (human),FFAR3 (human),0.16420527893982384,,,,878,0,molecularly interacts with
79159,25926,NOL12 (human),NOL11 (human),-0.13119132943862066,,,,878,0,molecularly interacts with
152,1232,ADRA2C (human),CCR3 (human),-0.030699279940553405,,,,878,0,molecularly interacts with
1026,6667,CDKN1A (human),SP1 (human),0.2505712995808088,,,0.05520149049684229,878,0,molecularly interacts with
9290,55970,GPR55 (human),GNG12 (human),-0.004068113672977037,,,,878,0,molecularly interacts with
6210,30836,RPS15A (human),DNTTIP2 (human),0.022837035493263796,,,,878,0,molecularly interacts with
4774,117246,NFIA,FTSJ3 (human),-0.06382639721191496,,,,878,0,molecularly interacts with
90249,219699,UNC5A (human),UNC5B (human),0.20165348575656356,,,,878,0,molecularly interacts with
5436,6877,POLR2G (human),TAF5 (human),0.20576189106704879,,,,878,0,molecularly interacts with
51602,81887,NOP58 (human),LAS1L,0.27156592007956415,,,,878,0,molecularly interacts with
63891,6049,RNF123 (human),RNF6,0.4865087028157977,,,,878,0,molecularly interacts with
114088,255488,TRIM9 (human),RNF144B (human),-0.017905487073308357,,,,878,0,molecularly interacts with
26018,2066,LRIG1 (human),ERBB4,0.5976562859232066,,,,878,0,molecularly interacts with
387893,55766,KMT5A (human),H2AJ (human),0.04581096440100788,,,,878,0,molecularly interacts with
8673,6455,VAMP8 (human),SH3GL1 (human),0.1995461228646488,,,,878,0,molecularly interacts with
55131,4931,RBM28 (human),NVL (human),0.3272853773337169,,,,878,0,molecularly interacts with
2204,53831,FCAR (human),GPR84 (human),0.5731027289111736,,,,878,0,molecularly interacts with
8970,55869,H2BC11 (human),HDAC8 (human),-0.12550080599818103,,,,878,0,molecularly interacts with
5864,84932,RAB3A (human),RAB2B (human),0.3139485331180615,,,,878,0,molecularly interacts with
10761,54799,PLAC1 (human),MBTD1 (human),-0.011492336547621421,,,,878,0,molecularly interacts with
9015,3015,TAF1A (human),H2AZ1 (human),0.12841254951652786,,,,878,0,molecularly interacts with
302,389289,ANXA2 (human),ANXA2R (human),-0.01229283043932193,,,,878,0,molecularly interacts with
9270,8050,ITGB1BP1 (human),PDHX,0.10113232538053066,,,,878,0,molecularly interacts with
2782,284433,GNB1 (human),OR10H5 (human),0.06218641598581249,,,,878,0,molecularly interacts with
64805,6366,P2RY12 (human),CCL21 (human),0.35276632923728013,,,,878,0,molecularly interacts with
3115,147700,HLA-DPB1 (human),KLC3 (human),-0.04873015296161827,,,,878,0,molecularly interacts with
5330,5286,PLCB2 (human),PIK3C2A (human),-0.015237374864653982,,,,878,0,molecularly interacts with
8698,6372,S1PR4 (human),CXCL6 (human),0.20361125672594038,,,,878,0,molecularly interacts with
10806,5116,SDCCAG8 (human),PCNT (human),0.3518281878414503,,,,878,0,molecularly interacts with
6427,5356,SRSF2 (human),PLRG1 (human),0.36625322302947755,,,,878,0,molecularly interacts with
2740,133,GLP1R (human),ADM (human),0.10893077705117178,,,,878,0,molecularly interacts with
127833,1114,SYT2 (human),CHGB (human),-0.016468364071523134,,,,878,0,molecularly interacts with
84340,28998,GFM2 (human),MRPL13 (human),0.22016344112073988,,,,878,0,molecularly interacts with
2783,9560,GNB2 (human),CCL4L1 (human),,,,,0,0,molecularly interacts with
10946,29894,SF3A3 (human),CPSF1 (human),0.24826638881988106,,,,878,0,molecularly interacts with
991,51053,CDC20 (human),GMNN (human),0.5652000551301033,,,,878,0,molecularly interacts with
26232,9040,FBXO2 (human),UBE2M (human),0.2570215896853029,,,,878,0,molecularly interacts with
22796,287,COG2 (human),ANK2 (human),0.1903537354548551,,,,878,0,molecularly interacts with
51121,55110,RPL26L1 (human),MAGOHB (human),0.2626135296517732,,,,878,0,molecularly interacts with
140691,151636,TRIM69 (human),DTX3L (human),0.6320057417231457,,,,878,0,molecularly interacts with
23440,6492,OTP (human),SIM1,0.04215246172543473,,,,878,0,molecularly interacts with
116496,988,NIBAN1 (human),CDC5L (human),0.1833546564387994,,,,878,0,molecularly interacts with
514,528,ATP5F1E,ATP6V1C1 (human),-0.004338603815894158,,,,878,0,molecularly interacts with
57826,140885,RAP2C (human),SIRPA (human),-0.012667189741185449,,,,878,0,molecularly interacts with
9377,4708,COX5A (human),NDUFB2 (human),0.43869384868524114,,,,878,0,molecularly interacts with
51547,7157,SIRT7 (human),TP53 (human),0.06744327443219636,,0.10481517085468176,,878,0,molecularly interacts with
3576,8881,CXCL8 (human),CDC16 (human),0.009109451001025712,,,,878,0,molecularly interacts with
3915,10117,LAMC1 (human),ENAM,-0.004272396735867002,,,,878,0,molecularly interacts with
56670,6366,SUCNR1 (human),CCL21 (human),0.18820692842796194,,,,878,0,molecularly interacts with
114088,51665,TRIM9 (human),ASB1 (human),0.24585851631143968,,,,878,0,molecularly interacts with
54209,3824,TREM2,KLRD1 (human),0.11352551603099467,,,,878,0,molecularly interacts with
238,5295,ALK,PIK3R1 (human),0.06889068945975507,,-0.09752885305662347,,878,0,molecularly interacts with
1660,10569,DHX9 (human),SLU7 (human),0.5912296089577553,,,,878,0,molecularly interacts with
27327,7311,TNRC6A (human),UBA52 (human),-0.2948392785102544,,,,878,0,molecularly interacts with
92609,26517,TIMM50 (human),TIMM13 (human),0.3453653553688131,,,,878,0,molecularly interacts with
5713,329,PSMD7 (human),BIRC2 (human),0.4554296565044714,,,,878,0,molecularly interacts with
3421,100188893,IDH3G (human),TOMM6 (human),,,,,878,0,molecularly interacts with
2826,728,CCR10 (human),C5AR1 (human),0.14917601253458648,,,,878,0,molecularly interacts with
8655,64105,DYNLL1 (human),CENPK (human),0.2402286340929043,,,,878,0,molecularly interacts with
8862,1129,APLN (human),CHRM2 (human),0.026692434495648426,,,,878,0,molecularly interacts with
7277,84902,TUBA4A,CEP89 (human),-0.04511308159365915,,,,878,0,molecularly interacts with
5906,998,RAP1A (human),CDC42 (human),0.5697447179573273,,0.02067579239747887,,878,0,molecularly interacts with
2066,5295,ERBB4,PIK3R1 (human),0.2231510065944062,,0.01578859923197107,,878,0,molecularly interacts with
63891,7704,RNF123 (human),ZBTB16 (human),0.20941335274328185,,,,878,0,molecularly interacts with
58485,10484,TRAPPC1 (human),SEC23A,-0.13149890571992118,,,,878,0,molecularly interacts with
11066,8233,SNRNP35 (human),ZRSR2 (human),0.48087543004289524,,,,878,0,molecularly interacts with
372,22820,ARCN1 (human),COPG1 (human),0.46025824932838777,,,,878,0,molecularly interacts with
6125,6133,RPL5 (human),RPL9 (human),0.6229862553728326,,,,878,0,molecularly interacts with
5874,5873,RAB27B (human),RAB27A (human),0.22701901982937428,,,,878,0,molecularly interacts with
388697,2717,HRNR (human),GLA,-0.006973839981043672,,,,878,0,molecularly interacts with
1241,4935,LTB4R (human),GPR143 (human),0.09364996846248472,,,,878,0,molecularly interacts with
654,4090,BMP6 (human),SMAD5 (human),0.03843762741052474,,,,878,0,molecularly interacts with
9377,4718,COX5A (human),NDUFC2 (human),0.08356995680387329,,-0.03915812790200463,,878,0,molecularly interacts with
51053,3838,GMNN (human),KPNA2 (human),0.5011549019665084,,,,878,0,molecularly interacts with
942,9402,CD86 (human),GRAP2 (human),0.5866618608351184,,,-0.030557485388187623,878,0,molecularly interacts with
10460,991,TACC3 (human),CDC20 (human),0.7683703456548086,,,,878,0,molecularly interacts with
1906,5575,EDN1 (human),PRKAR1B (human),0.10623155647066332,,,,878,0,molecularly interacts with
2319,5862,FLOT2 (human),RAB2A (human),0.09848778411947534,,,,878,0,molecularly interacts with
9283,50837,GPR37L1 (human),TAS2R7 (human),-0.01258304825306979,,,,878,0,molecularly interacts with
92856,30836,IMP4 (human),DNTTIP2 (human),0.19135422532275048,,,,878,0,molecularly interacts with
150726,201456,FBXO41 (human),FBXO15 (human),0.23857939051298427,,,,878,0,molecularly interacts with
9351,4478,SLC9A3R2 (human),MSN,-0.32354814466651405,,,,878,0,molecularly interacts with
81620,79019,CDT1 (human),CENPM (human),0.7353559250530886,,,-0.03102342955657396,878,0,molecularly interacts with
3184,22826,HNRNPD (human),DNAJC8 (human),0.50008403132771,,,,878,0,molecularly interacts with
5009,4846,OTC (human),NOS3 (human),0.2627260029638018,,,,878,0,molecularly interacts with
115650,5713,TNFRSF13C (human),PSMD7 (human),0.05756558966007552,,,,878,0,molecularly interacts with
4158,797,MC2R,CALCB (human),-0.00788355007831317,,,,878,0,molecularly interacts with
2556,9568,GABRA3 (human),GABBR2 (human),0.12195092466224819,,,,878,0,molecularly interacts with
2153,3956,F5,LGALS1 (human),-0.04707100089535827,,,,878,0,molecularly interacts with
8812,79664,CCNK (human),ICE2 (human),0.5396834502588619,,,,878,0,molecularly interacts with
2956,79677,MSH6 (human),SMC6 (human),0.7508742651553015,,,0.29970453890933196,878,0,molecularly interacts with
57132,10617,CHMP1B (human),STAMBP,0.4198730459702281,,,,878,0,molecularly interacts with
129521,147,NMS (human),ADRA1B (human),-0.056846343497732744,,,,878,0,molecularly interacts with
7324,26249,UBE2E1 (human),KLHL3,0.27263730344854187,,,,878,0,molecularly interacts with
5624,11167,PROC,FSTL1 (human),0.23227986945137258,,,,878,0,molecularly interacts with
472,7292,ATM (human),TNFSF4 (human),0.382262477450298,,,0.020015138468982313,878,0,molecularly interacts with
22909,91442,FAN1,FAAP24 (human),0.23324505842137502,,,,878,0,molecularly interacts with
7409,10870,VAV1 (human),HCST (human),0.5895818440022143,,,0.2595339957355828,878,0,molecularly interacts with
6396,51693,SEC13 (human),TRAPPC2L (human),0.31294820986883926,,,,878,0,molecularly interacts with
7321,23327,UBE2D1 (human),NEDD4L (human),0.018974102081775527,,,,878,0,molecularly interacts with
4436,7374,MSH2 (human),UNG,0.5751821860939088,,,0.3058742180345167,878,0,molecularly interacts with
22984,10171,PDCD11 (human),RCL1 (human),0.425993996953017,,,,878,0,molecularly interacts with
4809,9349,SNU13 (human),RPL23 (human),0.23671989552024628,,,,878,0,molecularly interacts with
2961,5438,GTF2E2 (human),POLR2I (human),0.058405954394522605,,,,878,0,molecularly interacts with
7076,10117,TIMP1 (human),ENAM,0.016806044632866477,,,,878,0,molecularly interacts with
152503,8673,SH3D19 (human),VAMP8 (human),-0.21536786470711722,,,,878,0,molecularly interacts with
5434,1111,POLR2E (human),CHEK1 (human),-0.12805957095392217,,-0.04084764053982981,,878,0,molecularly interacts with
57134,4122,MAN1C1 (human),MAN2A2 (human),0.31347690900301994,,,,878,0,molecularly interacts with
1337,170712,COX6A1 (human),COX7B2 (human),0.034026260859331116,,,,878,0,molecularly interacts with
185,1129,AGTR1 (human),CHRM2 (human),-0.04922723900697788,,,,878,0,molecularly interacts with
10921,129401,RNPS1 (human),NUP35 (human),0.3344081533892451,,,,878,0,molecularly interacts with
25873,9939,RPL36 (human),RBM8A (human),0.11161788422914518,,,,878,0,molecularly interacts with
9256,57030,TSPOAP1 (human),SLC17A7 (human),0.09381863362867741,,,,878,0,molecularly interacts with
5822,55781,PWP2 (human),RIOK2 (human),-0.0678639618072017,,,,878,0,molecularly interacts with
6750,50834,SST (human),TAS2R1 (human),-0.01732200012332058,,,,878,0,molecularly interacts with
394263,4589,MUC21 (human),MUC7 (human),-0.019283394011372003,,,,878,0,molecularly interacts with
55967,79133,NDUFA12,NDUFAF5 (human),0.2467405655653239,,,,878,0,molecularly interacts with
5441,9441,POLR2L (human),MED26 (human),0.07084899740910135,,,,878,0,molecularly interacts with
5525,10213,PPP2R5A (human),PSMD14 (human),0.09340448671894976,,,,878,0,molecularly interacts with
65264,26232,UBE2Z (human),FBXO2 (human),-0.06014284626303729,,,,878,0,molecularly interacts with
3176,9739,HNMT (human),SETD1A (human),0.14952699002941883,,,,878,0,molecularly interacts with
10417,221981,SPON2 (human),THSD7A (human),0.26357741949352864,,,,878,0,molecularly interacts with
5368,6360,PNOC (human),CCL16 (human),0.1304244067621586,,,,878,0,molecularly interacts with
583,8195,BBS2 (human),MKKS,0.35249208473139654,,,,878,0,molecularly interacts with
920,3127,CD4 (human),HLA-DRB5 (human),0.7153642114641772,,,0.43689461497511756,878,0,molecularly interacts with
80212,5707,CCDC92 (human),PSMD1 (human),0.011754180249830668,,,,878,0,molecularly interacts with
5021,1128,OXTR (human),CHRM1 (human),0.07249601795895982,,,,878,0,molecularly interacts with
9742,51098,IFT140,IFT52 (human),0.34456826814222435,,,,878,0,molecularly interacts with
6950,8786,TCP1 (human),RGS11 (human),-0.18607073939855934,,,,878,0,molecularly interacts with
84447,51009,SYVN1 (human),DERL2 (human),0.280659406149554,,,,878,0,molecularly interacts with
5884,5983,RAD17 (human),RFC3 (human),0.26390650210101696,,,,878,0,molecularly interacts with
6223,65110,RPS19 (human),UPF3A (human),0.07653661364858551,,,,878,0,molecularly interacts with
6750,4221,SST (human),MEN1 (human),0.01043183767980983,,,,878,0,molecularly interacts with
343035,3000,RD3,GUCY2D,0.1415776115160427,,,,878,0,molecularly interacts with
3938,140628,LCT (human),GATA5 (human),0.014244428805043698,,,,878,0,molecularly interacts with
338382,142684,RAB7B (human),RAB40A (human),0.14068668891759772,,,,878,0,molecularly interacts with
255488,29882,RNF144B (human),ANAPC2 (human),0.0534026864325056,,,,878,0,molecularly interacts with
124538,285093,OR4D2 (human),RTP5 (human),0.09664990656925909,,,,878,0,molecularly interacts with
54939,28991,COMMD4 (human),COMMD5 (human),0.39164301129358664,,,,878,0,molecularly interacts with
84861,283807,KLHL22 (human),FBXL22 (human),0.1496245178820265,,,,878,0,molecularly interacts with
51506,9039,UFC1 (human),UBA3 (human),0.16266608992896694,,,,878,0,molecularly interacts with
5029,2782,P2RY2 (human),GNB1 (human),0.09498822851830784,,,,878,0,molecularly interacts with
9474,23001,ATG5 (human),WDFY3 (human),0.2714031018435819,,,-0.026460185884666716,878,0,molecularly interacts with
10011,6256,SRA1,RXRA (human),0.21872921587769278,,,,878,0,molecularly interacts with
1781,1767,DYNC1I2 (human),DNAH5,0.5022496369196789,,,,878,0,molecularly interacts with
5707,387921,PSMD1 (human),NHLRC3 (human),0.23462000484371662,,,,878,0,molecularly interacts with
55696,10713,RBM22 (human),USP39 (human),0.2937014997319268,,,,878,0,molecularly interacts with
10681,2861,GNB5,GPR37 (human),0.10793509440233344,,,,878,0,molecularly interacts with
56943,81892,ENY2 (human),SLIRP (human),0.14250869417762396,,,0.031673088244189115,878,0,molecularly interacts with
495,525,ATP4A (human),ATP6V1B1 (human),0.023585911052260777,,,,878,0,molecularly interacts with
1662,55760,DDX10 (human),DHX32 (human),0.36057935125893587,,,,878,0,molecularly interacts with
5732,2838,PTGER2,GPR15 (human),0.19258526689201028,,,,878,0,molecularly interacts with
64410,8452,KLHL25 (human),CUL3,0.187094160576198,,,,878,0,molecularly interacts with
63891,158506,RNF123 (human),CBLL2 (human),-0.004527308839079102,,,,878,0,molecularly interacts with
8638,3107,OASL (human),HLA-C (human),0.5430036963783322,,,,878,0,molecularly interacts with
59345,56670,GNB4 (human),SUCNR1 (human),0.33174709089676613,,,,878,0,molecularly interacts with
54737,83740,MPHOSPH8 (human),H2AFB3 (human),0.031862577402724884,,,,878,0,molecularly interacts with
55181,6124,SMG8 (human),RPL4 (human),-0.11641981281036172,,,,878,0,molecularly interacts with
2913,50839,GRM3 (human),TAS2R10 (human),0.17095589125795357,,,,878,0,molecularly interacts with
142685,8065,ASB15 (human),CUL5 (human),0.11652280916747688,,,,878,0,molecularly interacts with
6182,64951,MRPL12 (human),MRPS24 (human),0.21985403619693333,,,,878,0,molecularly interacts with
10399,6207,RACK1 (human),RPS13 (human),0.6429213610717792,,,,878,0,molecularly interacts with
5566,9742,PRKACA,IFT140,0.26834710078169355,,,-0.1966741331168958,878,0,molecularly interacts with
10383,22897,TUBB4B (human),CEP164 (human),0.13150390714846175,,,,878,0,molecularly interacts with
7791,7145,ZYX (human),TNS1 (human),0.40004372064971305,,,,878,0,molecularly interacts with
53407,6844,STX18 (human),VAMP2 (human),0.47920226582705194,,,,878,0,molecularly interacts with
57703,5431,CWC22 (human),POLR2B (human),0.6483998174753609,,,,878,0,molecularly interacts with
5685,5698,PSMA4 (human),PSMB9 (human),0.24596667983135015,,,,878,0,molecularly interacts with
