gene_a,gene_b,gene_a_label,gene_b_label,corr_mrna,corr_protein,corr_cross_ab,corr_cross_ba,n_samples_mrna,n_samples_protein,predicate_group
645811,8294,CCDC154 (human),HIST1H4D (human),-0.07452998370502005,,,,878,0,genetically interacts with
8350,8352,HIST1H3E (human),HIST1H3A (human),0.6670519643311806,,,,878,0,genetically interacts with
8969,8356,HIST1H2AG (human),HIST1H3D (human),0.5481668149313134,,,,878,0,genetically interacts with
221823,9083,PRPS1L1 (human),BPY2B (human),0.014342872452278825,,,,878,0,genetically interacts with
8346,653604,HIST1H2BI (human),HIST2H3D (human),0.4698335243761475,,,,878,0,genetically interacts with
3198,8365,HOXA1,HIST1H4L (human),-0.1388129407260605,,,,878,0,genetically interacts with
8346,8294,HIST1H2BI (human),HIST1H4D (human),0.05172611676817021,,,,878,0,genetically interacts with
8343,8352,HIST1H2BG (human),HIST1H3A (human),0.3746589954003554,,,,878,0,genetically interacts with
8330,8332,HIST1H2AG (human),HIST1H2AI (human),,,,,878,0,genetically interacts with
100652824,10603,KIAA2012 (human),SH2B2 (human),-0.019004572026565733,,,,878,0,genetically interacts with
8356,8366,HIST1H3D (human),HIST1H4D (human),0.5687430305855365,,,,878,0,genetically interacts with
8359,654364,HIST1H4E (human),NME2 (human),,,,,878,0,genetically interacts with
8360,8294,HIST2H4B (human),HIST1H4D (human),0.4872300847491567,,,,878,0,genetically interacts with
8361,8330,HIST1H4A (human),HIST1H2AG (human),,,,,878,0,genetically interacts with
283463,93659,MUC19 (human),CGB5 (human),-0.0009214938490303467,,,,878,0,genetically interacts with
80319,4108,CXXC4 (human),MAGEA9 (human),,,,,0,0,genetically interacts with
8594,105369274,OR5D3P,OR4N4C (human),,,,,878,0,genetically interacts with
100533952,548313,RBAK-RBAKDN,SSX4 (human),,,,,878,0,genetically interacts with
729759,127617,OR4F16 (human),OR14L1P,0.0018406139420571073,,,,878,0,genetically interacts with
440686,8346,H3-2 (human),HIST1H2BI (human),0.014309605867727265,,,,878,0,genetically interacts with
83740,474381,H2AFB3 (human),H2AFB3 (human),-0.004303989207071493,,,,878,0,genetically interacts with
283450,10603,HECTD4 (human),SH2B2 (human),-0.2769043729843962,,,,878,0,genetically interacts with
118568804,102723532,OR4M2B (human),OR4N4 (human),,,,,0,0,genetically interacts with
