predicate_group,n_pairs,n_valid_mrna,n_valid_protein,n_valid_cross,median_corr_mrna,mean_corr_mrna,std_corr_mrna,median_corr_protein,mean_corr_protein,median_corr_cross_ab,mean_corr_cross_ab
genetically interacts with,500,354,0,9,0.14381587092832326,0.21413931726856675,0.25219566918064035,,,0.03650217562613878,0.028938697188163005
molecularly interacts with,500,490,2,22,0.15398238142786522,0.19543591367381183,0.2333328225110265,0.011994446930916919,0.011994446930916919,-0.012995091565483282,0.033922223479359644
co-pathway (has participant),500,484,92,227,0.19558264113002322,0.1790551733935797,0.20122202907688663,0.030056954440762354,0.024958548299735782,-0.00403572930551536,-0.0031477903500983047
co-disease,500,481,21,85,0.0665330366055856,0.10692946794119214,0.19764856220957255,0.04180783670916141,0.01675604334827498,-0.008861645985418685,0.0016011953062690229
random,500,472,0,4,0.0133825094663324,0.03089725314523278,0.10643678505377938,,,0.021938793653778134,-0.00947308310776054
